논문고유번호,논문제목,논문제목(영문),저자명,소속기관명,학술지명,발행년도,권호,키워드,주제어,초록(원문),초록(영문)
ART002061139,레이첼즈의 ‘도덕적 개체주의’와 儒敎,Moral Individualism of Rachels & Confucianism,이상익(부산교육대학교),부산교육대학교,율곡학연구,2015,Vol.31 No.None,"유교, 진화론, 도덕적 개체주의, 생존경쟁, 혈연선택, Confucianism, the theory of evolution, moral individualism, struggle for existence, kin selection",인문학 > 기타인문학,"유교에는 ‘신(神)의 형상 테제’나 ‘합리성 테제’처럼 인간과 동물 사이에 ‘심원한 간극(間隙)’을 설치하는 장치가 없었다. 성리학(性理學)에서는 ‘인간과 만물은 모두 이(理)와 기(氣)의 결합으로 태어났다’고 하여 ‘인간과 만물의 평등’을 설파하고, ‘바르고 통한 기를 얻은 인간은 치우치고 막힌 기를 얻은 동물보다 우수하다’고 하여 ‘인간이 만물의 영장(靈長)임’을 설파했다. 요컨대 성리학이 형이상학적 관점에서 인물성동론(人物性同論)의 길을 열어놓았다면, 진화론(進化論)은 ‘모든 생명체는 동일한 조상(祖上)에서 다양한 종(種)으로 진화했다’는 관점에서 인물성동론의 길을 열어놓은 것이다. 이처럼 유교와 진화론은 서로 접근법이 달랐어도 ‘인간과 동물은 연속선상에 위치한다’는 결론을 공유했기 때문에, ‘인간과 만물을 일체로 여기고, 모든 동물의 생명을 애호하라’는 입장을 공유했던 것이다. 그런데 레이첼즈는 육식(肉食)을 반대했으나, 맹자는 육식을 인정했다.
다윈의 주장처럼 진화(進化)란 생존경쟁의 과정이요 혈연선택의 과정이라면, 생존의 경쟁자인 다른 동물들을 포식(捕食)하는 것이 무슨 잘못이며, 가까운 혈연을 우대하기 위해 먼 혈연을 포식하는 것이 무슨 잘못인가? 이러한 의문을 해소하기 위해 레이첼즈의 도덕적 개체주의는 이론적으로 보완될 필요가 있다. 도덕적 개체주의를 수정하고 보완하기로 한다면, 전통 유교의 입장이 좋은 참고자료가 될 수 있다. 유교에서는 인간과 만물을 일체로 생각하면서도, 혈연선택이론에 따라 만물보다 인간을 우대했고, 인간의 삶에 꼭 필요한 범위에서는 만물을 거두어 활용하는 것을 용인하여, ‘많은 사람들이 수긍할 수 있고, 실천할 수 있는’ 내용을 제시했기 때문이다.","On the basis of the theory of evolution, James Rachels advocated a ‘moral individualism’ that all things should be treated according to the characteristics of the individuals, whether human or animal. In the tradition of Western philosophy, humans and animals are severely discriminated against. The grounds for discrimination humans and animals are ‘rationality thesis’ and ‘image of God thesis.’ But in Confucianism, there is no equipment something to establish deep gap between human being and animal. The Neo-confucian philosophers said “all humans and animals are born by the combination of I (理) and Gi (氣).” It means that humans and animals are equal. And they said “humans got the right Gi, animal gained biased Gi. Thus, humans are superior to animals.” It means that man is the supreme creature of all things.
In short, Confucianism has claimed the equality of human beings and animals from the metaphysical point of view, the theory of evolution claimed the equality of human beings and animals by the thought that all living organisms have evolved from the same ancestor to the various species. Like this, Confucianism and evolutionary approach differed from each other. But they shared the idea that humans and animals located in the continuum. Therefore, Confucianism and evolutionary theory shared the conclusion that we should think humans and animals are originally one thing, and we should love all the animals like humans. But Rachels raised an objection to the predatory, Mencius admitted. If we remember the evolutionary concepts of ‘struggle for existence’ and ‘kin selection,’ Mencius’s position seems to be more reasonable."
ART001999516,변형과 결합 가능한 4족 로봇에 대한 연구,Study on the Transformable Quadruped Robot with Docking Module,"김영민(한경대학교), 김용태(한경대학교)",한경대학교,한국지능시스템학회 논문지,2015,Vol.25 No.3,"4족로봇, 다개체로봇, 결합제어, 변형로봇, Quadruped Robot, Docking Mechanism, Transformable Robot, Collaboration",공학 > 전기공학,"본 논문에서는 로봇 간의 결합과 허리 관절을 이용하여 변형 가능한 다 개체 4족 로봇 플랫폼을 제안하였다. 메카넘 휠을 적용하여 다양한 각도로 주행이 가능하고, 주행으로는 이동할 수 없는 환경을 극복하기 위해 보행도 가능한 복합 이동형 로봇으로 설계하였다. 주행 및 보행을 구현하기 위해 2가지의 기구학을 사용하였으며, 보행은 일정한 패턴을 생성하여 구현하였다. 로봇의 전면부와 후면부에는 결합 모듈을 장착하였고, 두 로봇 간의 결합을 위해 결합 알고리즘을 제시하고 실험하였다. 변형을 이해 로봇의 몸 중간에 허리 관절을 적용하였고, 허리관절을 이용한 변형을 통해 물건을 옮길 수 있는 새로운 기능을 구현하였다.","This paper presents a study on transformable multiple quadruped robots by docking between robots and waist joints. This robot is able to go on a variety of angles because of mecanum wheels. It is also a hybrid design which allows robot use legs to overcome obstacles on complex terrains and wheels to move on flat ground. The robot is applied kinematics of mecanum wheels and walking, and its walking is base d on specific patterns. Docking module is located in front and backside of robot, docking algorithm is suggested and fulfilled for docking between 2 robots. A waist joint is at the center of robot body for transformation and after docking and transformation, robot can activate new functions that carry something."
ART001867939,대화형 개인 비서 시스템의 언어 인식 모듈을 위한 개체명 및 문장목적 동시 인식 방법,A Simultaneous Recognition Method of Named Entities and Objects for the Language Understanding Module of a Dialogue-based Private Secretary System,"이창수(동아대학교 컴퓨터공학과), 고영중(동아대학교)","동아대학교 컴퓨터공학과, 동아대학교",정보과학회논문지 : 소프트웨어 및 응용,2014,Vol.41 No.4,"개체명 인식, Conditional Random Fields, 문장목적 인식, 대화시스템, named entity, conditional random fields, object, dialog system",공학 > 컴퓨터학,"대화형 개인 비서 시스템은 기존의 대화 시스템과 달리 앱(App)을 이용하여 사용자에게 정보를 실시간으로 제공하는 시스템이다. 대화형 개인 비서 시스템에서의 SLU(Spoken Language Understanding) 작업은 도메인, 개체명, 문장목적, 동작, 화행 인식으로 나누어진다. 본 논문은 대화형 개인 비서 시스템에서의 SLU 작업들 중 개체명과 문장목적을 동시에 인식하는 방법을 연구한다. 기존 시스템은 사전-규칙 기반 방법 이용하여 인식 작업을 수행하는데, 이 방법은 몇 가지 문제점이 존재한다. 본 논문에서는 이러한 문제를 해결하기 위해 Conditional Random Fields(CRF)를 이용하여 개체명과 문장목적을 동시에 인식하는 방법을 제안하며, 양질의 ETRI 개체명 사전을 이용해 전체적인 성능을 향상시켰다. 기존 시스템과의 비교 결과, 문장 단위 1.5%의 성능 향상을 보였고, 유의성 검정 결과 본 논문에서 제안하는 방법이 신뢰도 95%에서 통계적으로 유의하다는 결론을 얻었다.","A dialogue-based private secretary system provides some real-time information to a user using apps unlike a traditional dialogue system. The Spoken Language Understanding (SLU) module of the private secretary system consists of five components : domain, named-entity, object, operator and speech-act recognition. This paper proposes a simultaneous recognition method recognition of named entities and objects. The traditional dialogue-based private secretary system has some problems from using dictionary and rule-based resources. In order to solve these problems, the proposed system uses the conditional random fields (CRF) for named entity and object recognition. Moreover, the performance of the system has been improved by adding the high quality ETRI named- entity dictionary. In the empirical experiments, the proposed system results the higher performance of 1.5% in sentence level than a compared system using dictionary and rule based resources. In a significance test, we obtain a P-value of 0.11. This difference is considered to be statistically significant."
ART001861613,잔디 비료 제형의 엽면 살포가 가을철 한지형 잔디의 생장 증대,Increase of Growth on Cool Season Turfgrass by Foliar Application of Preparations of Turfgrass Fertilizer during Fall Season,"구준학((주)한울), 허혁재((주)한울), 김양선((주)한울), 윤정호((주)한울), 장석원(주) 한울), 이승준(경북대학교), 장태현(경북대학교)","(주)한울, 주) 한울, 경북대학교",Weed & Turfgrass Science,2014,Vol.3 No.1,"상업용제품, 비료, 개발제형, 개체수밀도, 잔디색, Chlorophyll contents, Commercial products, Fertilizers, Preparations, Turf color",농수해양학,"액상 잔디비료의 4종류의 제형을 가을철 한지형 잔디에서 시험하였다. 상업용 제품 개발을 위한 PS-A, PS-B, PHC및 PH-D은 필수영양원소 와 해추출액, 아미노산 및 휴믹 물질함유하고 있다. 켄터키블루그라스 혼합품종(Midnight33%, Moonlight 33%, Prosperity 33%) 과 크리핑벤트그라스 “Penn-A1” 품종에 대한 생장과 품질은 잔디색, 엽록소함량 및 뿌리길이, 뿌리생체중 및 개체수(분얼수) 밀도로평가하였다. 4종류의 제형을 2013년 가을철에 합천 뗏장농장에서 7일간 간격으로 3회 엽면살포를 하였다. 잔디 생장은 크리핑벤트그라스에서는 4종류 모드에서 처리간에통계적으로 유의적인 차이는 없었으나, 켄터키블루그라스에서는 PS-A에서 잔디생장이 증가하였다. 엽록소 함량 과잔디색은 PA-A를 2와 3회 살포한 크리핑벤트그라스와 켄터키블루그라스에서 통계적으로 유의성 있게 증가하였다.
잔디 개체수밀도는 PA-A 와 PA-B를 살포한 처리구에서살포 후 20일에 켄터키블루그라스에서 유의 차이는 보였다. 이 결과는 개발 제형을 가을철에 뗏장잔디 생산과 골프장에서 사용 할 경우 잔디 색과 엽록소함량증대에 도움이 될 것으로 생각된다.","Four preparations of liquid turfgrass fertilizers were tested cool season turfgrasses during fall season. Thepreparations of PS-A, PS-B, PH-C and PH-D for commercial products were contained with essential nutrient elements, seaweedextract, amino acids, and humus substance. Growth and quality of creeping bentgrass (Agrostis palustris Huds cv. Penn-A1) andKentucky bluegrass (Poa pratensis L.) mixture (Midnight 33%, Moonlight 33%, Prosperity 33%) were evaluated by normalizeddifference vegetation index (NDVI), root length and fresh weight, shoot density, turf color, and chlorophyll content. Three foliarsprays of 4 preparations with an interval of 7 days were made in the fall of 2013 in the sod production field at Hapchun, Korea.
No significant difference among 3 preparations was found in NDVI of creeping bentgrass. However, PS-A was significantlyincreased NDVI of Kentucky bluegrass. Two to three applications of PS-A significantly increased chlorophyll content and turfcolor. Three foliar sprays of PS-A and PS-B were significantly increased the shoot density of Kentucky bluegrass on 20 days afterfinal application. These results may indicate that the use of some preparation is beneficial in producing higher quality turfgrasssod with better color and chlorophyll content during fall season."
ART001895905,개체명 인식 향상을 위한 학습 집합 및 개체명 인식 모델 구축,Construction of Tagged Corpus and a Statistical Model for Improvement of Named Entity Recognition,"신성호(한국과학기술정보연구원), 황미녕(한국과학기술정보연구원), 서동민(한국과학기술정보연구원), 최성필(경기대학교), 이승우(한국과학기술정보연구원), 송사광(한국과학기술정보연구원), 정한민(한국과학기술정보연구원)","한국과학기술정보연구원, 경기대학교",정보과학회 컴퓨팅의 실제 논문지,2014,Vol.20 No.7,"개체명 인식, 학습 집합, 태깅, 의사결정 트리, 순도, named entity recognition, tagged corpus, annotation, decision tree, purity",공학 > 컴퓨터학,"텍스트에서의 개체명 인식은 텍스트 상에 존재하는 주요 개체명들을 인식하여 특정 목적에 맞게 분류하는 작업으로서, 개체명 간 관계 추출 및 이벤트 추출의 시작점이 된다. 개체명 인식의 정확도는 어느 정도 성능을 달성했다고 할 수 있지만, 실제 방대한 문헌에서의 체감 성능을 높이는 과제는 여전히 남아 있다. 기계학습 기반의 개체명 인식의 정확도는 개체명 인식에 사용되는 기계학습 모델의 정확도에 많은 영향을 받으며, 기계학습 모델은 학습을 위한 데이터셋을 얼마나 정교하게 구축했느냐에 절대적으로 영향을 받는다. 본 연구에서는 기계학습 기반의 개체명 인식의 정확도 향상을 위해 기존 학습 집합 태깅에 있어서의 문제점을 분석하여 해결 방안을 제시한다. 또한 기존 의사결정 트리 모델을 단순화하여 모델 자체가 직관적이어서 개체명 인식 오류에 대해서 피드백하기 쉽다는 장점이 있고, 기존 의사결정 모델들에 비해 정확하고 명확한 개체명 인식을 할 수 있을 것으로 기대할 수 있다.","Named Entity Recognition is to recognize meaningful named entities in texts and classify them into predefined classes. This job is the starting point for the relation extraction and the event extraction. Even though the accuracy of NER is high enough to stop researching for it, the results are mostly for researches with small amount of texts, not with real enormous texts. Thus, there are still many challenges to research. The accuracy of NER based on the machine learning is much affected by the accuracy of the learning model for the job. Likewise, the accuracy of the learning model depends considerably on the quality of training data. In this paper, issues in annotation for training data are addressed and some guides for the issues are presented to improve the quality. In addition, a NER model from modifying the idea of the decision tree is designed, which is expected to carry out NER with better accuracy and convenience to use and get feedback on the result of NER."
ART001926592,"한국산 멸종위기종 산굴뚝나비(나비목, 네발나비과)의 분포와 개체군 동태","Distribution and Population Dynamics of Korean Endangered Species; Hipparchia autonoe (Lepidoptera: Nymphalidae) on Mt. Hallasan, Jeju Island, Korea","김도성(생물보전연구소), 조영복(한남대학교), 김동순(제주대학교), 이영돈(한라산연구소), 박성준(국립생태원), 안능호(국립생물자원관전시교육과)","생물보전연구소, 한남대학교, 제주대학교, 한라산연구소, 국립생태원, 국립생물자원관전시교육과",한국환경생태학회지,2014,Vol.28 No.5,"Mt. HALLASAN, ENDANGERED SPECIES, ESTIMATE POPULATION NUMBER, MRR, 한라산, 멸종위기종, 추정개체수, 포획-재포획",농수해양학 > 조경학 > 환경생태/복원,"본 연구는 제주도 한라산에 서식하는 산굴뚝나비의 분포와 개체군 동태를 알아보기 위하여 선조사법과 포획-재포획 조사법을 실시하였다. 그 결과 산굴뚝나비는 해발 1500m 이상부터 관찰되기 시작하여 정상부까지 서식하는 것으로 확인되었다. 포획-재포획 조사에서 산굴뚝나비의 포획 개체수는 1,493개체로, 이중 수컷은 978개체, 암컷 515개체가 확인되었다. 재포획된 개체수는 518개체이며, 수컷과 암컷의 비율은 284:234로 나타났다. 그리고 암컷과 수컷의 평균생존일수는 2.31로 나타났으며, 이중 수컷 2.14일, 암컷 3.47로 나타나 암컷이 수컷 보다 오래 생존한 것으로 나타났다. 포획-재포획 조사를 통한 일일 추정개체수는 수컷이 7월에 약 1000개체를 유지하다가 점차 감소하는 것으로 나타나고 있으며 8월에는 개체수가 200개체 이하로 나타났다. 그리고 암컷은 7월에 335개체를 최고로 하였다가 점차 감소하고, 이후 8월에 이르러 개체군 크기는 120개체 이하로 나타났다. 추정개체수의 크기는 암컷이 수컷의 약 1/3수준으로 나타났다. 산굴뚝나비의 평균 이동거리는 수컷 116.8±191.9m, 암컷 118.4±161.5m로 나타나 암수간의 차이는 거의 없었다. 산굴뚝나비는 한라산 백록담을 중심으로 넓게 형성된 초지공간에서 단일 개체군을 이루고 있다. 개체 밀도가 가장 높은 곳은 훼손지 복구지역으로, 이는 한라산의 훼손된 지역을 복구하는 작업과정에서 먹이식물인 김의털이 넓은 면적으로 자라고 있어 이 지역을 중심으로 많은 개체들이 서식하고 있는 것으로 나타났다.","This study was conducted to investigate the distribution and the population dynamics of Hipparchia autonoe by using a line transect and Mark-Release-Recapture (MRR) at the Mt. Halla in Jeju Island. The results showed that H. autonoe was found from 1,500 m above the sea level. Total 1,493 H. autonoe with 978 males and 515 females were captured and released in the MRR study site. Among them, 518 individuals including 284 males and 234 females were recaptured. The average survival time was 2.31 days with 2.14 days for males and 3.47 days for females, indicating longer survival time in case of females than males. The daily population size of males estimated in the MRR study site was maintained about 1,000 individuals in July and gradually decreased less than 200 in August. The number of females showed peak at 335 individuals on July 24, and gradually decreased less than 120 in August. Thus, female population was 1/3 of males. The average travel distance of male and female H. autonoe were 116.8 ± 191.9 m and 118.4 ± 161.5 m, respectively, indicating almost same between sexes. H. autonoe in the Mt. Halla formed single population group in the wide meadow around the Baekrokdam Lake. The highest population density of H. autonoe was occurred in the restored area from damages, where host plants such as the sheep's fescue or the food plant are abundant by artificial restoration efforts."
ART001951683,쇠살모사 Red-tongued viper snake (Gloydius ussuriensis)의 먹이 이용,Foods Use of the Red-Tongued Viper Snake (Gloydius ussuriensis),"김병수(신성여자중학교), 오홍식(제주대학교)","신성여자중학교, 제주대학교",한국환경생태학회지,2014,Vol.28 No.6,"생물자원, 개체군생태, 살모사과, 파충류, 제주도, BIORESOURCES, POPULATION ECOLOGY, VIPERIDAE, REPTILIA, JEJU ISLAND",농수해양학 > 조경학 > 환경생태/복원,"이 연구는 2006년 5월부터 2010년 11월까지 제주도와 부속도서인 가파도에 서식하는 쇠살모사의 먹이원과 지역에 따른 먹이이용의 차이를 밝혀 먹이원의 차이가 쇠살모사의 생활사에 어떠한 영향을 미치는지 밝히기 위하여 이루어졌다. 연구결과, 제주도 개체군에서 확인된 먹이원은 왕지네(Scolopendra subspinipes mutilans), 제주도롱뇽(Hynobius quelpaertensis), 청개구리(Hyla japonica), 맹꽁이(Kaloula borealis), 북방산개구리(Rana dybowskii), 참개구리(Rana nigromaculata), 도마뱀(Scincella vandenburghi), 대륙유혈목이(Amphiesma vibakari), 작은땃쥐 (Crosidura shantungensis), 한라산뒤쥐(Sorex caecutiens hallamontanus), 제주등줄쥐(Apodemus chejuensis) 등으로 양서류나 파충류 및 소형포유류를 주로 포식하는 것으로 나타났다. 이중 양서류가 55.2%로 가장 높은 빈도를 보였고, 포유류 20.7%, 지네 13.8%, 파충류 10.3% 순이었다. 이와 달리 가파도 개체군에서는 지네와 도마뱀만을 먹는 것으로 나타났다. 지네나 도마뱀은 작은 크기라 1회 포식으로 얻을 수 있는 영양분이 떨어지기 때문에 제주도 개체군에 비해 생장이나 생식에 불리하게 작용할 것이다. 가파도 개체군의 경우 이용할 수 있는 먹이원의 종류는 비교적 다양함에도 불구하고 도마뱀과 지네만을 주로 포식하는 것은 다른 먹이원의 밀도가 낮아 이를 찾기 위한 노력에 소비되는 에너지를 최소화하기 위해 질은 낮지만 쉽게 구할 수 있는 먹이를 선택하는 것이라 판단된다. 뱀은 머리의 크기가 클수록 큰 먹이를 선택하는 경향이 있는데, 제주도 개체군에서도 쇠살모사의 머리의 크기와 먹이의 직경 사이에 양의 상관관계를 보였다. 제주도 개체군은 수컷이 암컷보다 머리가 크며, 이러한 결과는 먹이의 선택에도 영향을 미칠 것이라 판단된다. 반면, 지네와 도마뱀만을 포식하는 가파도 개체군에서는 머리 크기와 먹이 크기 간에 유의한 차이는 없는 것으로 나타났다. 이러한 결과는 같은 종이라도 서식장소에 따라 이용가능한 먹이원을 선택하여 각기 다른 방향으로 환경에 적응하면서 개체군을 유지하는 데 유리한 방향으로 성장해간다는 것을 직접적으로 보여주는 매우 의미 있는 자료라 판단된다.","This study was conducted to investigate the difference in feeding habits of Red-Tongued Viper Snakes, according to available foods sources and areas. The effects of differences in food sources were found on Red-Tongued Viper Snake inhabited in the Jeju Island and its islet Gapado, from May 2006 to Nov. 2010. The food sources for the Red-Tongued viper snake population in the Jeju Island were found to be as follows: Chinese red-headed centipedes (Scolopendra subspinipes mutilans), Jeju Salamanders (Hynobius quelpaertensis), Japanese tree Frogs (Hyla japonica), Narrow-mouthed Toad (Kaloula borealis), Dybowski's Brown Frogs (Rana dybowskii), Black-spotted Pond Frogs (Rana nigromaculata), Smooth Skinks (Scincella vandenburghi), Asian Keelback Snakes (Amphiesma vibakari), Lesser White-toothed Shrews (Crosidura shantungensis), Hallasan Shrews (Sorex caecutiens hallamontanus), and Jeju Striped Field Mice (Apodemus chejuensis). This implies that Red-Tongued Viper Snakes mainly feed on amphibians, reptiles, and small mammals. Among these, amphibians occupied the highest portion at 55.2% followed by mammals at 20.7%, centipedes at 13.8%, and reptiles at 10.3%. On the contrary, Red-tongued viper snake population in Gapado only feed on Chinese red-headed centipedes and Smooth Skinks (S. vandenburghi). Since only a small amount of nutrient can be obtained from Chinese red-headed centipeds or Smooth Skinks, this feeding habit for Red-tongued viper snake would adversely effect on the growth or regeneration. The reason why Red-Tongued viper snake population in the Gapado mainly feed on Lizard and Centipedes in spite of relatively various available food sources, might be due to the low density of other food sources in the Gapado. Red-Tongued viper snake could be feeding on foods that are low in quality but are easily accessible, to minimize energy consumption on searching for other more nutritious foods. A snake tends to select the size of its food depending on the size of its own head. The positive correlation was found between the size of the heads of Red-Tongued viper snakes from the Jeju island and the diameter of their foods. The head size was larger in the males than females in viper snake population from the Jeju Island, which might effect on their selection of foods. However, no significant difference was found between the sizes of the head and the food in the Red-Tongued viper snake population from the Gapado. The findings of this study would provide meaningful data, which directly shows that even within the same viper species they choose different available food sources according to their inhabitance. This leads to their growth and adaptation to their environment which is beneficial for sustaining of its population."
ART001096465,인터넷의 횡단적 속성과 이용 방식에 관한 연구,A Study on the Transversal Characteristic ofInternet and Its Cultural Implications,"김영기(전남대학교), 한선(전남대학교)",전남대학교,한국방송학보,2005,Vol.19 No.2,"FTransversality, Individuality, Hetrogeneity, Nomadicity, Consumerism, 횡단성, 개체성, 이질성, 유목성, 물질소비주의",사회과학 > 신문방송학,"이 논문은 인터넷의 기술 특성과 이의 사회 문화적 함의를 심층 인터뷰와 이용 일지 분석을 통해 탐구하고자 했다. 이질적인 개체들이 끝없이 연결돼 있는 인터넷의 횡단적 기술 속성은 개인주의의 강화와 속도중시, 영역과 경계의 해체 등과 같은 문화와 조응, 근대성의 장애와 문제점을 극복할 수 있는 잠재력을 갖고 있는 것으로 나타났다. 그러나 연구 결과 밝혀진 이용 방식 속에는 ‘나’의 선택과 가치를 중시하는 개인주의의 강화가 집단적 개인주의와 동반해 나타났고, 탈영역화·속도 중시·경계의 넘나듦 역시물질 소비를 통한 이미지 중심의 나르시시즘으로 변모할 수 있다는 것이 동시에 드러났다. 이는 인터넷의 횡단적 가능성이 필요에 따라 유연하고 자유롭게 무엇이든 선택할 수 있는 ‘주체’를 생산하고 있는 동시에 자본의 이윤 확대를 위한 ‘소비의 객체’를 생산할 수도 있는 것으로 볼 수 있다.","This study explores the technological characteristics of Internet and its cultural implications. Based on the theory of media ecology, it examines the practices of Internet users through their personal diaries and in-depth interviews. The results of this study show that the transversal characteristic of Internet, corresponded to such contemporary
cultural trends as the strengthening of individualism, speed-centered lifestyle, and the deconstruction of territory and boundary, has a potential possibility to overcome modern obstacles and problems. The strengthening of individualism which emphasizes the choices and values of ‘I’, however, has also a possibility to lead the totalitarian individualism. In the same vein, the deterritorialization, the speed- emphasizedlifestyle, and the crossing-over boundaries may eventually lead to the image-oriented narcissism through material consumption. In other words, it shows that ‘the subject’ who is guaranteed to flexibly
and freely choose anything according to one’s owns needs through the Internet, along with the proliferating culture of capitalism, may be degraded into ‘the consuming object’."
ART001458653,"국가 장기 생태 연구지(남산, 지리산, 월악산)의 신갈나무림과 소나무림에서 포획된 나방류의 종조성 및 종다양도","Species Composition and Species Diversity of Moths (Lepidoptera) on Quercus mongolica forests sand Pinus densiflora forests, in Korean National Long-term Ecological Research Sites (Mt. Nam, Mt. Jiri, Mt. Wolak)","이훈복(서울여자대학교), 김현정(서울여자대학교)",서울여자대학교,한국응용곤충학회지,2010,Vol.49 No.2,"Species abundance, KLTER, Moth, Forest type, Species richness, 개체수, 국가장기생태연구, 나방류, 임상, 종풍부도",농수해양학 > 농학,"본 연구는 2005년과 2006년 6월부터 9월까지 남산, 지리산, 월악산의 신갈나무림, 소나무림에서 유브이 버킷 라이트 트랩(22 W)을 이용하여 나방을 포획하였고 식생 및 삼림의 주요 1차 소비자인 나방류(불나방과, 자나방과, 밤나방과, 재주나방과, 명나방과)의 종다양성을 시공간적으로 비교하였다. 본 연구기간동안 국가장기생태연구지에서 포획된 나방의 종수는 435종이었다. 포획된 나방의 개체수는 월악산에서 가장 높았고, 지리산, 남산 순이었다. ANOVA 분석결과 개체수를 종속변수로 하였을때는 조사시기에 대해 유의한 차이가 나타났고 종풍부도의 경우에는 조사시기와 지역에 따른 유의한 차이가 나타났다. 다변량분석 방법인 다차원분석법을 사용하였을때, 나방의 군집구조는 각 지역별로 뚜렷이 구분되어 나타났지만, 같은 지역내의 산림유형에 따른 구분은 명확하지 않았다.","Moths were collected using a 22W UV black light trap in June through September in 2005 and May, June, August and September in 2006. The study sites were Namsan (Mt. Nam), Jirisan (Mt. Jiri), Woraksan (Mt. Worak) which are part of the Korean National Long Term Ecological Research (KNLTER). There were two common forest communities, Quercus mongolica and Pinus densiflora. The purpose of this study was to compare species diversity of the major plant feeding Lepidoptera in the two forest types at the regional KNLTER sites. We collected a total of 435 species from the KLTER sites in 2005 and 2006. Abundance of moths was highest at Woraksan (Mt. Worak) followed by Jirisan (Mt. Jiri). The Namsan (Mt. Nam) site had the lowest, with five families (Arctiidae, Geometridae, Noctuidae, Notodontidae, and Pyralidae). Analysis of variance (ANOVA) showed statistically significant differences at sampling date in species abundance as a response variable and at site in species richness as another response variable. Although we expected a distinct cluster with the forest type at each study site, one of ordination analyses, nonmetric multidimensional scaling (NMS), showed distinct clusters with the moth assemblages at each site only but NMS did not show any distinct cluster with the different forest types at each site as we expected."
ART002079227,원거리 감독과 능동 배깅을 이용한 개체명 인식,Named Entity Recognition Using Distant Supervision and Active Bagging,"이성희(강원대학교 컴퓨터정보통신공학 전공), 송영길(강원대학교), 김학수(강원대학교)","강원대학교 컴퓨터정보통신공학 전공, 강원대학교",정보과학회논문지,2016,Vol.43 No.2,"named entity recognition, distant supervision, ensemble, active bagging, 개체명 인식, 원거리 감독법, 앙상블, 능동 배깅",공학 > 컴퓨터학,"개체명 인식은 문장에서 개체명을 추출하고 추출된 개체명의 범주를 결정하는 작업이다. 기존의 개체명 인식 연구는 주로 지도 학습 기법이 사용되어 왔다. 지도 학습을 위해서는 개체명 범주가 수동으로 부착된 대용량의 학습 말뭉치가 필요하며, 대용량의 학습 말뭉치를 수동으로 구축하는 것은 시간과인력이 많이 들어가는 일이다. 본 논문에서는 학습 말뭉치 구축비용을 최소화하면서 개체명 인식 성능을빠르게 향상시키기 위한 준지도 학습 방법을 제안한다. 제안 방법은 초기 학습 말뭉치를 구축하기 위해원거리 감독법을 사용한다. 그리고 배깅과 능동 학습을 결합한 앙상블 기법의 하나인 능동 배깅을 사용하여 초기 학습 말뭉치에 포함된 노이즈 문장을 효과적으로 제거한다. 실험 결과, 15회의 능동 배깅을 통해개체명 인식 F1-점수를 67.36%에서 76.42%로 향상시켰다.","Named entity recognition is a process which extracts named entities in sentences and determines categories of the named entities. Previous studies on named entity recognition have primarily been used for supervised learning. For supervised learning, a large training corpus manually annotated with named entity categories is needed, and it is a time-consuming and labor-intensive job to manually construct a large training corpus. We propose a semi-supervised learning method to minimize the cost needed for training corpus construction and to rapidly enhance the performance of named entity recognition. The proposed method uses distance supervision for the construction of the initial training corpus. It can then effectively remove noise sentences in the initial training corpus through the use of an active bagging method, an ensemble method of bagging and active learning. In the experiments, the proposed method improved the F1-score of named entity recognition from 67.36% to 76.42% after active bagging for 15 times."
ART002188567,생물 종의 개체 수변화를 기술하는 수학적 모델의 확산현상 표현에 대한 역사적 고찰,A Historical Study on the Representations of Diffusion Phenomena in Mathematical Models for Population Changes of Biological Species,심성아(성신여자대학교),성신여자대학교,한국수학사학회지,2016,Vol.29 No.6,"population ecology, diffusion, semi-linear system, quasi-linear system, 개체 수 생태학, 확산, 반선형 시스템, 준선형 시스템.",자연과학 > 수학,"생물 종(種)의 개체 수가 서식지 안의 특정 위치에서 시간에 따라 어떻게변하는 지를 연구하는 분야인 수학적 개체 수 생태학(mathematical population ecology)에서 편미분방정식 형태의 모델들은 상미분방정식형태로 표현되었던 classical model과는 상이한 성질을 가진다는 사실이여러 면에서 연구되었으며, 현재까지도 편미분방정식 형태의 수리생물학모델에 대하여 다양한 관점에서 많은 연구가 활발히 진행되고 있다. 이논문에서는 이러한 편미분방정식 모델들에서 확산을 표현하기 위하여사용했던 다양한 수식 형태와 그 수학적 의미를 역사적으로 살펴본다.
서식 공간에서 개체들의 이동을 묘사하기위한 수학적 방법으로 무작위적단순 확산을 가정한 반선형(semi-linear) 시스템과 이 개념을 더확장하여 확률적 단순 확산이 아닌 상호작용이 반영된 복합적인 확산을묘사하는 준선형(quasi-linear) 시스템을 고찰한다. 그리고 앞으로 이분야에서 해결되어야 할 중요한 연구 주제들 중 몇 가지를 소개한다.","In mathematical population ecology which is an academic field that studies how populations of biological species change as times flows at specific locations in their habitats, PDE models have been studied in many aspects and found to have different properties from the classical ODE models. And different approaches to PDE type models in mathematical biology are still being tried currently. This article investigate various forms to express diffusion effects and review the history of PDE models involving diffusion terms in mathematical ecology. Semi-linear systems representing the spatial movements of each individual as random simple diffusion and quasi-linear systems describing more complex diffusions reflecting interspecific interactions are studied. Also it introduce a few of important problems to be solved in this field."
